function_name,has_tracing_calls,reason_for_no_tracing
__yk_opt_GCTM,false,Optimised clone (__yk_opt_*)
__yk_opt_PrintCode,false,Optimised clone (__yk_opt_*)
__yk_opt_PrintConstant,false,Optimised clone (__yk_opt_*)
__yk_opt_PrintDebug,false,Optimised clone (__yk_opt_*)
__yk_opt_PrintFunction,false,Optimised clone (__yk_opt_*)
__yk_opt_addk,false,Optimised clone (__yk_opt_*)
__yk_opt_addnum2buff,false,Optimised clone (__yk_opt_*)
__yk_opt_addstr2buff,false,Optimised clone (__yk_opt_*)
__yk_opt_adjustlocalvars,false,Optimised clone (__yk_opt_*)
__yk_opt_allocupvalue,false,Optimised clone (__yk_opt_*)
__yk_opt_atomic,false,Optimised clone (__yk_opt_*)
__yk_opt_atomic2gen,false,Optimised clone (__yk_opt_*)
__yk_opt_aux_rawset,false,Optimised clone (__yk_opt_*)
__yk_opt_auxsetstr,false,Optimised clone (__yk_opt_*)
__yk_opt_body,false,Optimised clone (__yk_opt_*)
__yk_opt_callbinTM,false,Optimised clone (__yk_opt_*)
__yk_opt_check_match,false,Optimised clone (__yk_opt_*)
__yk_opt_check_next2,false,Optimised clone (__yk_opt_*)
__yk_opt_clearbyvalues,false,Optimised clone (__yk_opt_*)
__yk_opt_close_func,false,Optimised clone (__yk_opt_*)
__yk_opt_close_state,false,Optimised clone (__yk_opt_*)
__yk_opt_codebinexpval,false,Optimised clone (__yk_opt_*)
__yk_opt_constfolding,false,Optimised clone (__yk_opt_*)
__yk_opt_constructor,false,Optimised clone (__yk_opt_*)
__yk_opt_correctgraylist,false,Optimised clone (__yk_opt_*)
__yk_opt_correctstack,false,Optimised clone (__yk_opt_*)
__yk_opt_createlabel,false,Optimised clone (__yk_opt_*)
__yk_opt_discharge2reg,false,Optimised clone (__yk_opt_*)
__yk_opt_dumpFunction,false,Optimised clone (__yk_opt_*)
__yk_opt_entergen,false,Optimised clone (__yk_opt_*)
__yk_opt_error,false,Optimised clone (__yk_opt_*)
__yk_opt_error_expected,false,Optimised clone (__yk_opt_*)
__yk_opt_errorlimit,false,Optimised clone (__yk_opt_*)
__yk_opt_exp2reg,false,Optimised clone (__yk_opt_*)
__yk_opt_explist,false,Optimised clone (__yk_opt_*)
__yk_opt_findfield,false,Optimised clone (__yk_opt_*)
__yk_opt_finishbinexpval,false,Optimised clone (__yk_opt_*)
__yk_opt_finishgencycle,false,Optimised clone (__yk_opt_*)
__yk_opt_forbody,false,Optimised clone (__yk_opt_*)
__yk_opt_freehash,false,Optimised clone (__yk_opt_*)
__yk_opt_freeobj,false,Optimised clone (__yk_opt_*)
__yk_opt_funcargs,false,Optimised clone (__yk_opt_*)
__yk_opt_funcnamefromcall,false,Optimised clone (__yk_opt_*)
__yk_opt_genlink,false,Optimised clone (__yk_opt_*)
__yk_opt_genstep,false,Optimised clone (__yk_opt_*)
__yk_opt_getgeneric,false,Optimised clone (__yk_opt_*)
