function_name,basicblock_id,number_of_instructions,instructions
lua_checkstack,BB#0,23,"frame-setup PUSH64r killed $r15, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 16; frame-setup PUSH64r killed $r14, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 24; frame-setup PUSH64r killed $r12, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 32; frame-setup PUSH64r killed $rbx, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 40; frame-setup PUSH64r undef $rax, implicit-def $rsp, implicit $rsp; frame-setup CFI_INSTRUCTION def_cfa_offset 48; CFI_INSTRUCTION offset $rbx, -40; CFI_INSTRUCTION offset $r12, -32; CFI_INSTRUCTION offset $r14, -24; CFI_INSTRUCTION offset $r15, -16; renamable $rcx = MOV64rm $rdi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.7, !tbaa !12); renamable $r15 = MOV64rm $rdi, 1, $noreg, 32, $noreg :: (load (s64) from %ir.3, !tbaa !3); renamable $rax = MOV64rm $rdi, 1, $noreg, 40, $noreg :: (load (s64) from %ir.5, !tbaa !12); renamable $rax = SUB64rr killed renamable $rax(tied-def 0), renamable $rcx, implicit-def dead $eflags; renamable $rax = exact SAR64ri killed renamable $rax(tied-def 0), 4, implicit-def dead $eflags; renamable $r12 = MOVSX64rr32 renamable $esi; renamable $ebx = MOV32ri 1; CMP64rr killed renamable $rax, renamable $r12, implicit-def $eflags; JCC_1 %bb.3, 15, implicit $eflags"
lua_checkstack,BB#1,6,"renamable $r14 = COPY $rdi; renamable $ebx = MOV32r0 implicit-def dead $eflags; $edx = MOV32r0 implicit-def dead $eflags; CALL64pcrel32 @luaD_growstack, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $esi, implicit killed $edx, implicit-def $rsp, implicit-def $ssp, implicit-def $eax; TEST32rr renamable $eax, renamable $eax, implicit-def $eflags; JCC_1 %bb.5, 4, implicit $eflags"
lua_checkstack,BB#2,2,"renamable $rcx = MOV64rm killed renamable $r14, 1, $noreg, 16, $noreg :: (load (s64) from %ir.19, !tbaa !12); renamable $ebx = COPY killed renamable $eax"
lua_checkstack,BB#3,4,"renamable $r12 = SHL64ri killed renamable $r12(tied-def 0), 4, implicit-def dead $eflags; renamable $r12 = ADD64rr killed renamable $r12(tied-def 0), killed renamable $rcx, implicit-def dead $eflags; CMP64mr renamable $r15, 1, $noreg, 8, $noreg, renamable $r12, implicit-def $eflags :: (load (s64) from %ir.24, !tbaa !12); JCC_1 %bb.5, 3, implicit $eflags"
lua_checkstack,BB#4,1,"MOV64mr killed renamable $r15, 1, $noreg, 8, $noreg, killed renamable $r12 :: (store (s64) into %ir.29, !tbaa !12)"
lua_checkstack,BB#5,12,"$eax = COPY killed renamable $ebx; $rsp = frame-destroy ADD64ri32 $rsp(tied-def 0), 8, implicit-def dead $eflags; frame-destroy CFI_INSTRUCTION def_cfa_offset 40; $rbx = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 32; $r12 = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 24; $r14 = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 16; $r15 = frame-destroy POP64r implicit-def $rsp, implicit $rsp; frame-destroy CFI_INSTRUCTION def_cfa_offset 8; RET 0, $eax"
lua_xmove,BB#0,2,"CMP64rr renamable $rdi, renamable $rsi, implicit-def $eflags; JCC_1 %bb.8, 4, implicit $eflags"
lua_xmove,BB#1,6,"renamable $rax = MOVSX64rr32 renamable $edx; renamable $rcx = COPY renamable $rax; renamable $rcx = SHL64ri killed renamable $rcx(tied-def 0), 4, implicit-def dead $eflags; SUB64mr renamable $rdi, 1, $noreg, 16, $noreg, killed renamable $rcx, implicit-def dead $eflags :: (store (s64) into %ir.6, !tbaa !12), (load (s64) from %ir.6, !tbaa !12); TEST32rr renamable $eax, renamable $eax, implicit-def $eflags, implicit killed $rax; JCC_1 %bb.8, 14, implicit $eflags"
lua_xmove,BB#2,4,"renamable $eax = MOV32rr renamable $edx, implicit-def $rax; renamable $rcx = MOV64rm renamable $rsi, 1, $noreg, 16, $noreg :: (load (s64) from %ir.13, !tbaa !12); CMP32ri killed renamable $edx, 1, implicit-def $eflags; JCC_1 %bb.4, 5, implicit killed $eflags"
lua_xmove,BB#3,2,"renamable $edx = MOV32r0 implicit-def dead $eflags, implicit-def $rdx; JMP_1 %bb.6"
