function_name,basicblock_id,has_tracing_call,number_of_instructions,instructions
GCTM,bb_0,false,17,"	pushq	%rbp; 	pushq	%r15; 	pushq	%r14; 	pushq	%r13; 	pushq	%r12; 	pushq	%rbx; 	subq	$24, %rsp; 	movq	24(%rdi), %r14; 	movq	%rdi, %rbx; 	movq	%r14, %rdi; 	callq	udata2finalize; 	movq	%rax, %r15; 	movzbl	8(%rax), %r12d; 	movl	%r12d, %eax; 	andl	$15, %eax; 	cmpq	$7, %rax; 	je	.LBB214_3"
GCTM,bb_1,false,2,"	cmpl	$5, %eax; 	jne	.LBB214_4"
GCTM,bb_2,false,11,"	leaq	40(%r15), %rax; 	jmp	.LBB214_5; 	leaq	24(%r15), %rax; 	jmp	.LBB214_5; 	movq	24(%rbx), %rcx; 	leaq	(%rcx,%rax,8), %rax; 	addq	$480, %rax; 	movq	(%rax), %rdi; 	movq	24(%rbx), %rax; 	testq	%rdi, %rdi; 	je	.LBB214_7"
GCTM,bb_3,false,43,"	movq	296(%rax), %rsi; 	callq	luaH_getshortstr; 	testb	$15, 8(%rax); 	jne	.LBB214_9; 	jmp	.LBB214_13; 	addq	$80, %rax; 	testb	$15, 8(%rax); 	je	.LBB214_13; 	orb	$64, %r12b; 	movzbl	11(%rbx), %ecx; 	movb	%cl, 14(%rsp); 	movzbl	106(%r14), %r13d; 	movl	%r13d, %ecx; 	orb	$2, %cl; 	movb	%cl, 106(%r14); 	movb	$0, 11(%rbx); 	movq	16(%rbx), %rcx; 	leaq	16(%rcx), %rdx; 	movq	%rdx, 16(%rbx); 	movq	(%rax), %rdx; 	movq	%rdx, (%rcx); 	movzbl	8(%rax), %eax; 	movb	%al, 8(%rcx); 	movq	16(%rbx), %rax; 	leaq	16(%rax), %rcx; 	movq	%rcx, 16(%rbx); 	movq	%r15, (%rax); 	movb	%r12b, 8(%rax); 	movq	32(%rbx), %r15; 	orw	$128, 62(%r15); 	movq	16(%rbx), %rax; 	movq	%rax, 16(%rsp); 	movq	48(%rbx), %rbp; 	movzbl	11(%rbx), %eax; 	movb	%al, 15(%rsp); 	movq	168(%rbx), %r12; 	movq	$0, 168(%rbx); 	movl	$dothecall, %esi; 	movq	%rbx, %rdi; 	xorl	%edx, %edx; 	callq	luaD_rawrunprotected; 	testl	%eax, %eax; 	jne	.LBB214_10"
GCTM,bb_4,false,40,"	movq	%r12, 168(%rbx); 	movq	32(%rbx), %rax; 	andw	$-129, 62(%rax); 	movzbl	14(%rsp), %eax; 	movb	%al, 11(%rbx); 	movb	%r13b, 106(%r14); 	addq	$24, %rsp; 	popq	%rbx; 	popq	%r12; 	popq	%r13; 	popq	%r14; 	popq	%r15; 	popq	%rbp; 	retq; 	movq	16(%rsp), %rsi; 	subq	%rbp, %rsi; 	addq	$-32, %rsi; 	movq	%r15, 32(%rbx); 	movzbl	15(%rsp), %ecx; 	movb	%cl, 11(%rbx); 	movq	%rbx, %rdi; 	movq	%rsi, %r15; 	movl	%eax, %edx; 	callq	luaD_closeprotected; 	movl	%eax, %ebp; 	addq	48(%rbx), %r15; 	movq	%rbx, %rdi; 	movl	%eax, %esi; 	movq	%r15, %rdx; 	callq	luaD_seterrorobj; 	movq	%rbx, %rdi; 	callq	luaD_shrinkstack; 	movq	%r12, 168(%rbx); 	movq	32(%rbx), %rax; 	andw	$-129, 62(%rax); 	movzbl	14(%rsp), %eax; 	movb	%al, 11(%rbx); 	movb	%r13b, 106(%r14); 	testl	%ebp, %ebp; 	je	.LBB214_13"
GCTM,bb_5,false,5,"	movl	$.L.str.40.831, %esi; 	movq	%rbx, %rdi; 	callq	luaE_warnerror; 	addq	$-16, 16(%rbx); 	jmp	.LBB214_13"
__yk_opt_GCTM,bb_0,false,23,"	pushq	%rbp; 	pushq	%r15; 	pushq	%r14; 	pushq	%r13; 	pushq	%r12; 	pushq	%rbx; 	subq	$24, %rsp; 	movq	%rdi, %rbx; 	movq	24(%rdi), %r15; 	movq	112(%r15), %rcx; 	movq	176(%r15), %rax; 	movq	(%rax), %rdx; 	movq	%rdx, 176(%r15); 	movq	%rcx, (%rax); 	movq	%rax, 112(%r15); 	movzbl	9(%rax), %ecx; 	movl	%ecx, %edx; 	andb	$-65, %dl; 	movb	%dl, 9(%rax); 	movzbl	101(%r15), %edx; 	addb	$-3, %dl; 	cmpb	$3, %dl; 	ja	.LBB958_2"
__yk_opt_GCTM,bb_1,false,9,"	andb	$-121, %cl; 	movzbl	100(%r15), %edx; 	andb	$24, %dl; 	orb	%cl, %dl; 	movb	%dl, 9(%rax); 	jmp	.LBB958_4; 	andb	$7, %cl; 	cmpb	$3, %cl; 	jne	.LBB958_4"
__yk_opt_GCTM,bb_2,false,6,"	movq	%rax, 216(%r15); 	movzbl	8(%rax), %edx; 	movl	%edx, %ecx; 	andl	$15, %ecx; 	cmpq	$7, %rcx; 	je	.LBB958_7"
__yk_opt_GCTM,bb_3,false,2,"	cmpl	$5, %ecx; 	jne	.LBB958_8"
