function_name,basicblock_id,has_tracing_call,number_of_instructions,instructions
hwt_set_cerr,BB#0,false,2,"CMP32mi renamable $rdi, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.0, !tbaa !4); JCC_1 %bb.2, 5, implicit $eflags"
hwt_set_cerr,BB#1,false,2,"MOV32mr renamable $rdi, 1, $noreg, 0, $noreg, killed renamable $esi :: (store (s32) into %ir.0, !tbaa !4); MOV32mr killed renamable $rdi, 1, $noreg, 4, $noreg, killed renamable $edx :: (store (s32) into %ir.7, !tbaa !9)"
hwt_set_cerr,BB#2,false,1,RET 0
hwt_perf_init_collector,BB#0,false,3,"CALL64pcrel32 target-flags(x86-plt) @calloc, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; TEST64rr $rax, $rax, implicit-def $eflags; JCC_1 %bb.3, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#1,false,2,"CMP32mi renamable $r14, 1, $noreg, 0, $noreg, 0, implicit-def $eflags :: (load (s32) from %ir.1); JCC_1 %bb.26, 5, implicit $eflags"
hwt_perf_init_collector,BB#2,false,5,"CALL64pcrel32 target-flags(x86-plt) @__errno_location, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; renamable $eax = MOV32rm killed renamable $rax, 1, $noreg, 0, $noreg :: (load (s32) from %ir.15); MOV32mi renamable $r14, 1, $noreg, 0, $noreg, 2 :: (store (s32) into %ir.1); MOV32mr killed renamable $r14, 1, $noreg, 4, $noreg, killed renamable $eax :: (store (s32) into %ir.17); JMP_1 %bb.44"
hwt_perf_init_collector,BB#3,false,7,"MOV64mi32 $rax, 1, $noreg, 16, $noreg, -1 :: (store (s64) into %ir.19); MOV32mi $rax, 1, $noreg, 24, $noreg, -1 :: (store (s32) into %ir.21, align 8, !tbaa !11); TLS_addr64 $noreg, 1, $noreg, target-flags(x86-tlsgd) @thread_cached, $noreg, implicit-def $rax, implicit-def dead $rcx, implicit-def dead $rdx, implicit-def dead $rsi, implicit-def dead $rdi, implicit-def dead $r8, implicit-def dead $r9, implicit-def dead $r10, implicit-def dead $r11, implicit-def dead $fp0, implicit-def dead $fp1, implicit-def dead $fp2, implicit-def dead $fp3, implicit-def dead $fp4, implicit-def dead $fp5, implicit-def dead $fp6, implicit-def dead $fp7, implicit-def dead $st0, implicit-def dead $st1, implicit-def dead $st2, implicit-def dead $st3, implicit-def dead $st4, implicit-def dead $st5, implicit-def dead $st6, implicit-def dead $st7, implicit-def dead $mm0, implicit-def dead $mm1, implicit-def dead $mm2, implicit-def dead $mm3, implicit-def dead $mm4, implicit-def dead $mm5, implicit-def dead $mm6, implicit-def dead $mm7, implicit-def dead $xmm0, implicit-def dead $xmm1, implicit-def dead $xmm2, implicit-def dead $xmm3, implicit-def dead $xmm4, implicit-def dead $xmm5, implicit-def dead $xmm6, implicit-def dead $xmm7, implicit-def dead $xmm8, implicit-def dead $xmm9, implicit-def dead $xmm10, implicit-def dead $xmm11, implicit-def dead $xmm12, implicit-def dead $xmm13, implicit-def dead $xmm14, implicit-def dead $xmm15, implicit-def dead $eflags, implicit-def dead $df, implicit $rsp, implicit $ssp; renamable $ebp = MOV32rm $rax, 1, $noreg, 0, $noreg :: (load (s32) from %ir.22, align 8); CMP32ri renamable $ebp, -1, implicit-def $eflags; MOV64mr $rsp, 1, $noreg, 8, $noreg, killed renamable $r14 :: (store (s64) into %stack.6); JCC_1 %bb.29, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#4,false,18,"renamable $r14 = MOV64rm renamable $r12, 1, $noreg, 8, $noreg :: (load (s64) from %ir.26); renamable $bpl = MOV8rm renamable $r12, 1, $noreg, 24, $noreg :: (load (s8) from %ir.28, align 8, !range !21); MOVAPSmr $rsp, 1, $noreg, 64, $noreg, renamable $xmm0 :: (store (s128) into %ir.3); MOVAPSmr $rsp, 1, $noreg, 176, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 112); MOVAPSmr $rsp, 1, $noreg, 160, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 96); MOVAPSmr $rsp, 1, $noreg, 144, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 80); MOVAPSmr $rsp, 1, $noreg, 128, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 64); MOVAPSmr $rsp, 1, $noreg, 112, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 48); MOVAPSmr $rsp, 1, $noreg, 96, $noreg, renamable $xmm0 :: (store (s128) into %ir.3 + 32); MOVAPSmr $rsp, 1, $noreg, 80, $noreg, killed renamable $xmm0 :: (store (s128) into %ir.3 + 16); MOV64mi32 $rsp, 1, $noreg, 192, $noreg, 0 :: (store (s64) into %ir.3 + 128, align 16); MOV32mi $rsp, 1, $noreg, 68, $noreg, 136 :: (store (s32) into %ir.30, !tbaa !23); MOV64mi32 $rsp, 1, $noreg, 72, $noreg, 2048 :: (store (s64) into %ir.31, !tbaa !27); renamable $rdi = LEA64r $rip, 1, $noreg, @.str.2, $noreg; renamable $rsi = LEA64r $rip, 1, $noreg, @.str.3, $noreg; CALL64pcrel32 target-flags(x86-plt) @fopen, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $rsi, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; TEST64rr $rax, $rax, implicit-def $eflags; JCC_1 %bb.6, 5, implicit killed $eflags"
hwt_perf_init_collector,BB#5,false,2,"renamable $r14 = MOV64rm $rsp, 1, $noreg, 8, $noreg :: (load (s64) from %stack.6); JMP_1 %bb.23"
hwt_perf_init_collector,BB#6,false,5,"renamable $rdi = LEA64r $rsp, 1, $noreg, 40, $noreg; $esi = MOV32ri 8; CALL64pcrel32 target-flags(x86-plt) @fgets, <regmask $bh $bl $bp $bph $bpl $bx $ebp $ebx $hbp $hbx $rbp $rbx $r12 $r13 $r14 $r15 $r12b $r13b $r14b $r15b $r12bh $r13bh $r14bh $r15bh $r12d $r13d $r14d $r15d $r12w $r13w $r14w $r15w $r12wh and 3 more...>, implicit $rsp, implicit $ssp, implicit $rdi, implicit $esi, implicit $rdx, implicit-def $rsp, implicit-def $ssp, implicit-def $rax; TEST64rr killed renamable $rax, renamable $rax, implicit-def $eflags; JCC_1 %bb.10, 5, implicit killed $eflags"
